Elapsed time','ECG I','ECG I filtered'
0.208,0.125,0.05
0.209,0.13,0.05
0.21,0.115,0.045
0.211,0.12,0.045
0.212,0.115,0.045
0.213,0.105,0.04
0.214,0.1,0.035
0.215,0.105,0.035
0.216,0.09,0.03
0.217,0.1,0.03
0.218,0.105,0.025
0.219,0.11,0.025
0.22,0.12,0.03
0.221,0.135,0.03
0.222,0.12,0.035
0.223,0.11,0.04
0.224,0.095,0.045
0.225,0.1,0.045
0.226,0.095,0.045
0.227,0.1,0.045
0.228,0.11,0.045
0.229,0.11,0.045
0.23,0.115,0.045
0.231,0.115,0.045
0.232,0.095,0.05
0.233,0.08,0.05
0.234,0.075,0.05
0.235,0.07,0.05
0.236,0.07,0.045
0.237,0.075,0.04
0.238,0.09,0.035
0.239,0.085,0.03
0.24,0.1,0.02
0.241,0.125,0.02
0.242,0.11,0.02
0.243,0.105,0.02
0.244,0.075,0.025
0.245,0.08,0.035
0.246,0.065,0.04
0.247,0.075,0.04
0.248,0.08,0.045
0.249,0.09,0.045
0.25,0.1,0.04
0.251,0.115,0.035
0.252,0.105,0.03
0.253,0.09,0.025
0.254,0.085,0.025
0.255,0.09,0.03
0.256,0.085,0.03
0.257,0.095,0.035
0.258,0.11,0.045
0.259,0.135,0.05
0.26,0.13,0.055
0.261,0.135,0.06
0.262,0.125,0.06
0.263,0.12,0.06
0.264,0.11,0.065
0.265,0.105,0.06
0.266,0.095,0.06
0.267,0.11,0.06
0.268,0.14,0.055
0.269,0.135,0.055
0.27,0.14,0.05
0.271,0.14,0.045
0.272,0.13,0.045
0.273,0.125,0.04
0.274,0.12,0.045
0.275,0.105,0.05
0.276,0.1,0.055
0.277,0.12,0.06
0.278,0.15,0.07
0.279,0.16,0.075
0.28,0.16,0.08
0.281,0.17,0.085
0.282,0.16,0.08
0.283,0.12,0.075
0.284,0.115,0.07
0.285,0.115,0.065
0.286,0.095,0.055
0.287,0.095,0.05
0.288,0.1,0.045
0.289,0.095,0.04
0.29,0.09,0.04
0.291,0.09,0.035
0.292,0.085,0.03
0.293,0.055,0.02
0.294,0.065,0.015
0.295,0.06,0.01
0.296,0.065,0.01
0.297,0.075,0.005
0.298,0.08,0.005
0.299,0.08,0.01
0.3,0.095,0.015
0.301,0.075,0.015
0.302,0.055,0.02
0.303,0.05,0.02
0.304,0.045,0.02
0.305,0.035,0.02
0.306,0.045,0.02
0.307,0.045,0.015
0.308,0.055,0.015
0.309,0.06,0.015
0.31,0.06,0.01
0.311,0.06,0.01
0.312,0.06,0.005
0.313,0.05,0.005
0.314,0.035,0
0.315,0.02,-0.005
0.316,0.025,-0.01
0.317,0.035,-0.01
0.318,0.045,-0.01
0.319,0.055,-0.01
0.32,0.06,-0.01
0.321,0.055,-0.01
0.322,0.035,-0.01
0.323,0.025,-0.01
0.324,0.03,-0.015
0.325,0.02,-0.015
0.326,0.03,-0.02
0.327,0.05,-0.025
0.328,0.03,-0.03
0.329,0.04,-0.03
0.33,0.05,-0.03
0.331,0.04,-0.03
0.332,0.025,-0.03
0.333,0,-0.025
0.334,-0.01,-0.025
0.335,-0.025,-0.03
0.336,-0.03,-0.035
0.337,-0.025,-0.04
0.338,-0.015,-0.045
0.339,-0.005,-0.045
0.34,0.03,-0.035
0.341,0.065,-0.015
0.342,0.11,0.025
0.343,0.16,0.075
0.344,0.2,0.14
0.345,0.255,0.22
0.346,0.335,0.305
0.347,0.425,0.39
0.348,0.53,0.47
0.349,0.645,0.535
0.35,0.72,0.59
0.351,0.735,0.62
0.352,0.685,0.625
0.353,0.63,0.6
0.354,0.57,0.555
0.355,0.485,0.485
0.356,0.41,0.395
0.357,0.335,0.295
0.358,0.23,0.19
0.359,0.1,0.09
0.36,0.01,0
0.361,-0.06,-0.07
0.362,-0.1,-0.12
0.363,-0.1,-0.145
0.364,-0.09,-0.15
0.365,-0.085,-0.14
0.366,-0.06,-0.115
0.367,-0.02,-0.09
0.368,0.01,-0.06
0.369,0.035,-0.04
0.37,0.04,-0.025
0.371,0.035,-0.015
0.372,0.015,-0.015
0.373,-0.005,-0.02
0.374,-0.02,-0.025
0.375,-0.025,-0.035
0.376,-0.01,-0.035
0.377,0,-0.04
0.378,0.005,-0.04
0.379,0.025,-0.04
0.38,0.025,-0.04
0.381,0.02,-0.035
0.382,0,-0.035
0.383,0.005,-0.035
0.384,-0.015,-0.04
0.385,-0.02,-0.04
0.386,-0.01,-0.04
0.387,-0.01,-0.045
0.388,0,-0.045
0.389,0.01,-0.045
0.39,0,-0.045
0.391,0.005,-0.045
0.392,0.005,-0.045
0.393,-0.005,-0.04
0.394,0,-0.04
0.395,-0.01,-0.035
0.396,0,-0.03
0.397,0.015,-0.03
0.398,0.02,-0.025
0.399,0.025,-0.025
0.4,0.04,-0.025
0.401,0.025,-0.025
0.402,0.01,-0.025
0.403,0,-0.025
0.404,-0.005,-0.025
0.405,-0.005,-0.025
0.406,0.005,-0.03
0.407,0.025,-0.03
0.408,0.025,-0.03
0.409,0.03,-0.03
0.41,0.025,-0.025
0.411,0.01,-0.025
0.412,0.02,-0.02
0.413,0.005,-0.02
0.414,0.01,-0.015
0.415,0.005,-0.01
0.416,0.015,-0.01
0.417,0.02,-0.01
0.418,0.035,-0.01
0.419,0.04,-0.01
0.42,0.05,-0.01
0.421,0.05,-0.01
0.422,0.045,-0.01
0.423,0.04,-0.01
0.424,0.025,-0.005
0.425,0.03,0
0.426,0.03,0.005
0.427,0.04,0.01
0.428,0.045,0.015
0.429,0.055,0.02
0.43,0.06,0.025
0.431,0.065,0.025
0.432,0.065,0.03
0.433,0.07,0.03
0.434,0.07,0.035
0.435,0.065,0.04
0.436,0.08,0.045
0.437,0.095,0.05
0.438,0.105,0.055
0.439,0.105,0.065
0.44,0.12,0.07
0.441,0.115,0.07
0.442,0.115,0.075
0.443,0.11,0.075
0.444,0.1,0.075
0.445,0.1,0.075
0.446,0.115,0.075
0.447,0.13,0.08
0.448,0.15,0.085
0.449,0.155,0.09
0.45,0.16,0.095
0.451,0.15,0.105
0.452,0.16,0.115
0.453,0.165,0.12
0.454,0.155,0.13
0.455,0.16,0.135
0.456,0.175,0.14
0.457,0.2,0.14
0.458,0.205,0.145
0.459,0.21,0.145
0.46,0.205,0.145
0.461,0.195,0.145
0.462,0.185,0.145
0.463,0.18,0.15
0.464,0.18,0.15
0.465,0.18,0.155
0.466,0.18,0.16
0.467,0.2,0.165
0.468,0.205,0.17
0.469,0.205,0.175
0.47,0.195,0.175
0.471,0.17,0.17
0.472,0.15,0.165
0.473,0.135,0.155
0.474,0.13,0.14
0.475,0.125,0.13
0.476,0.13,0.12
0.477,0.115,0.115
0.478,0.13,0.11
0.479,0.13,0.105
0.48,0.115,0.1
0.481,0.095,0.095
0.482,0.08,0.085
0.483,0.07,0.075
0.484,0.055,0.06
0.485,0.03,0.045
0.486,0.015,0.03
0.487,0.025,0.015
0.488,0.025,0.005
0.489,0.02,-0.005
0.49,0.01,-0.005
0.491,-0.005,-0.005
0.492,-0.02,-0.005
0.493,-0.025,-0.005
0.494,-0.035,-0.005
0.495,-0.03,-0.01
0.496,-0.01,-0.015
0.497,0,-0.025
0.498,-0.01,-0.035
0.499,-0.005,-0.04
0.5,-0.01,-0.045
0.501,-0.03,-0.05
0.502,-0.04,-0.05
0.503,-0.055,-0.05
0.504,-0.065,-0.045
0.505,-0.055,-0.05
0.506,-0.04,-0.05
0.507,-0.045,-0.055
0.508,-0.025,-0.06
0.509,-0.035,-0.07
0.51,-0.03,-0.075
0.511,-0.05,-0.075
0.512,-0.055,-0.08
0.513,-0.06,-0.08
0.514,-0.06,-0.075
0.515,-0.045,-0.07
0.516,-0.045,-0.065
0.517,-0.035,-0.06
0.518,-0.02,-0.06
0.519,-0.03,-0.055
0.52,-0.03,-0.055
0.521,-0.05,-0.055
0.522,-0.055,-0.055
0.523,-0.055,-0.055
0.524,-0.06,-0.055
0.525,-0.055,-0.055
0.526,-0.05,-0.055
0.527,-0.04,-0.055
0.528,-0.055,-0.06
0.529,-0.03,-0.06
0.53,-0.055,-0.065
0.531,-0.05,-0.065
0.532,-0.05,-0.065
0.533,-0.06,-0.065
0.534,-0.06,-0.06
0.535,-0.045,-0.06
0.536,-0.04,-0.055
0.537,-0.04,-0.055
0.538,-0.04,-0.055
0.539,-0.04,-0.05
0.54,-0.05,-0.055
0.541,-0.055,-0.055
0.542,-0.055,-0.055
0.543,-0.06,-0.06
0.544,-0.055,-0.06
0.545,-0.03,-0.06
0.546,-0.03,-0.06
0.547,-0.025,-0.06
0.548,-0.02,-0.06
0.549,-0.015,-0.065
0.55,-0.025,-0.065
0.551,-0.035,-0.065
0.552,-0.045,-0.07
0.553,-0.05,-0.07
0.554,-0.055,-0.07
0.555,-0.045,-0.07
0.556,-0.04,-0.065
0.557,-0.02,-0.065
0.558,-0.015,-0.06
0.559,-0.01,-0.055
0.56,-0.015,-0.055
0.561,-0.02,-0.05
0.562,-0.03,-0.055
0.563,-0.035,-0.055
0.564,-0.04,-0.055
0.565,-0.03,-0.06
0.566,-0.03,-0.06
0.567,-0.025,-0.06
0.568,-0.015,-0.06
0.569,-0.015,-0.055
0.57,-0.025,-0.055
0.571,-0.02,-0.05
0.572,-0.035,-0.045
0.573,-0.04,-0.04
0.574,-0.045,-0.04
0.575,-0.045,-0.035
0.576,-0.03,-0.035
0.577,-0.025,-0.035
0.578,-0.005,-0.035
0.579,-0.01,-0.035
0.58,-0.03,-0.035
0.581,-0.03,-0.035
0.582,-0.035,-0.035
0.583,-0.05,-0.035
0.584,-0.06,-0.03
0.585,-0.04,-0.03
0.586,-0.04,-0.03
0.587,-0.03,-0.035
0.588,-0.02,-0.035
0.589,-0.025,-0.035
0.59,-0.04,-0.04
0.591,-0.045,-0.045
0.592,-0.02,-0.045
0.593,-0.05,-0.05
0.594,-0.055,-0.05
0.595,-0.04,-0.05
0.596,-0.03,-0.05
0.597,-0.035,-0.05
0.598,-0.015,-0.05
0.599,-0.02,-0.05
0.6,-0.04,-0.05
0.601,-0.05,-0.05
0.602,-0.055,-0.055
0.603,-0.06,-0.055
0.604,-0.06,-0.06
0.605,-0.055,-0.06
0.606,-0.04,-0.065
0.607,-0.04,-0.065
0.608,-0.035,-0.065
0.609,-0.02,-0.06
0.61,-0.035,-0.06
0.611,-0.045,-0.06
0.612,-0.05,-0.06
0.613,-0.07,-0.06
0.614,-0.07,-0.06
0.615,-0.05,-0.06
0.616,-0.045,-0.06
0.617,-0.035,-0.06
0.618,-0.035,-0.06
0.619,-0.035,-0.06
0.62,-0.045,-0.06
0.621,-0.055,-0.055
0.622,-0.05,-0.05
0.623,-0.05,-0.05
0.624,-0.04,-0.045
0.625,-0.035,-0.045
0.626,-0.025,-0.04
0.627,-0.005,-0.04
0.628,-0.01,-0.04
0.629,-0.025,-0.035
0.63,-0.04,-0.035
0.631,-0.03,-0.03
0.632,-0.035,-0.03
0.633,-0.04,-0.025
0.634,-0.04,-0.025
0.635,-0.025,-0.02
0.636,-0.015,-0.02
0.637,-0.01,-0.02
0.638,0.015,-0.02
0.639,-0.005,-0.02
0.64,-0.005,-0.02
0.641,-0.015,-0.02
0.642,-0.02,-0.025
0.643,-0.025,-0.025
0.644,-0.025,-0.03
0.645,-0.01,-0.03
0.646,0.005,-0.035
0.647,0.015,-0.035
0.648,0.02,-0.035
0.649,0.015,-0.03
0.65,0.005,-0.03
0.651,0.005,-0.025
0.652,0,-0.015
0.653,0,-0.01
0.654,0,-0.005
0.655,0,0
0.656,0.005,0
0.657,0.02,0
0.658,0.03,0
0.659,0.02,-0.005
0.66,-0.01,-0.01
0.661,-0.025,-0.015
0.662,-0.035,-0.02
0.663,-0.055,-0.025
0.664,-0.05,-0.03
0.665,-0.045,-0.035
0.666,-0.04,-0.04
0.667,-0.045,-0.045
0.668,-0.025,-0.055
0.669,-0.035,-0.06
0.67,-0.06,-0.07
0.671,-0.06,-0.075
0.672,-0.07,-0.08
0.673,-0.08,-0.08
0.674,-0.065,-0.08
0.675,-0.055,-0.08
0.676,-0.05,-0.075
0.677,-0.05,-0.075
0.678,-0.035,-0.075
0.679,-0.055,-0.075
0.68,-0.055,-0.075
0.681,-0.06,-0.075
0.682,-0.065,-0.075
0.683,-0.065,-0.075
0.684,-0.06,-0.075
0.685,-0.065,-0.075
0.686,-0.065,-0.075
0.687,-0.065,-0.075
0.688,-0.065,-0.08
0.689,-0.065,-0.08
0.69,-0.08,-0.085
0.691,-0.085,-0.09
0.692,-0.08,-0.095
0.693,-0.1,-0.095
0.694,-0.09,-0.095
0.695,-0.08,-0.095
0.696,-0.06,-0.09
0.697,-0.045,-0.085
0.698,-0.045,-0.085
0.699,-0.055,-0.085
0.7,-0.06,-0.085
0.701,-0.085,-0.09
0.702,-0.085,-0.095
0.703,-0.1,-0.1
0.704,-0.1,-0.105
0.705,-0.08,-0.105
0.706,-0.075,-0.105
0.707,-0.07,-0.105
0.708,-0.075,-0.105
0.709,-0.095,-0.105
0.71,-0.105,-0.11
0.711,-0.115,-0.115
0.712,-0.14,-0.125
0.713,-0.155,-0.13
0.714,-0.135,-0.13
0.715,-0.105,-0.12
0.716,-0.045,-0.095
0.717,0.02,-0.055
0.718,0.075,-0.005
0.719,0.125,0.06
0.72,0.17,0.14
0.721,0.225,0.225
0.722,0.275,0.31
0.723,0.39,0.395
0.724,0.515,0.47
0.725,0.64,0.53
0.726,0.69,0.575
0.727,0.66,0.595
0.728,0.615,0.59
0.729,0.555,0.555
0.73,0.485,0.495
0.731,0.39,0.41
0.732,0.305,0.31
0.733,0.195,0.2
0.734,0.085,0.085
0.735,-0.03,-0.015
0.736,-0.115,-0.095
0.737,-0.155,-0.15
0.738,-0.145,-0.18
0.739,-0.125,-0.185
0.74,-0.115,-0.17
0.741,-0.11,-0.14
0.742,-0.085,-0.11
0.743,-0.05,-0.08
0.744,-0.055,-0.06
0.745,-0.03,-0.055
0.746,-0.035,-0.055
0.747,-0.045,-0.065
0.748,-0.04,-0.075
0.749,-0.04,-0.085
0.75,-0.065,-0.095
0.751,-0.07,-0.1
0.752,-0.08,-0.1
0.753,-0.075,-0.095
0.754,-0.07,-0.09
0.755,-0.06,-0.085
0.756,-0.05,-0.085
0.757,-0.03,-0.08
0.758,-0.045,-0.08
0.759,-0.045,-0.08
0.76,-0.055,-0.08
0.761,-0.06,-0.08
0.762,-0.055,-0.08
0.763,-0.06,-0.075
0.764,-0.04,-0.07
0.765,-0.035,-0.07
0.766,-0.025,-0.065
0.767,-0.01,-0.065
0.768,-0.025,-0.065
0.769,-0.045,-0.07
0.77,-0.05,-0.07
0.771,-0.055,-0.07
0.772,-0.05,-0.065
0.773,-0.055,-0.065
0.774,-0.03,-0.06
0.775,-0.025,-0.055
0.776,-0.02,-0.05
0.777,-0.01,-0.045
0.778,-0.01,-0.045
0.779,-0.02,-0.04
0.78,-0.03,-0.04
0.781,-0.025,-0.035
0.782,-0.02,-0.035
0.783,-0.015,-0.03
0.784,0.005,-0.025
0.785,0.02,-0.025
0.786,0.025,-0.02
0.787,0.025,-0.015
0.788,0.015,-0.015
0.789,0.005,-0.015
0.79,-0.01,-0.015
0.791,-0.01,-0.02
0.792,-0.01,-0.02
0.793,0.01,-0.02
0.794,0.015,-0.02
0.795,0.025,-0.02
0.796,0.045,-0.015
0.797,0.06,-0.01
0.798,0.065,-0.005
0.799,0.05,0.005
0.8,0.04,0.01
0.801,0.045,0.015
0.802,0.04,0.02
0.803,0.045,0.02
0.804,0.045,0.02
0.805,0.06,0.02
0.806,0.065,0.02
0.807,0.07,0.015
0.808,0.065,0.015
0.809,0.065,0.01
0.81,0.065,0.01
0.811,0.065,0.015
0.812,0.075,0.02
0.813,0.08,0.025
0.814,0.1,0.035
0.815,0.115,0.045
0.816,0.125,0.06
0.817,0.13,0.07
0.818,0.14,0.075
0.819,0.14,0.085
0.82,0.15,0.09
0.821,0.135,0.095
0.822,0.13,0.1
0.823,0.14,0.105
0.824,0.17,0.11
0.825,0.175,0.115
0.826,0.19,0.125
0.827,0.2,0.13
0.828,0.205,0.14
0.829,0.19,0.145
0.83,0.2,0.155
0.831,0.2,0.16
0.832,0.195,0.16
0.833,0.21,0.165
0.834,0.225,0.165
0.835,0.235,0.165
0.836,0.23,0.17
0.837,0.24,0.175
0.838,0.225,0.175
0.839,0.225,0.175
0.84,0.205,0.175
0.841,0.2,0.175
0.842,0.19,0.17
0.843,0.19,0.165
0.844,0.205,0.155
0.845,0.205,0.15
0.846,0.22,0.145
0.847,0.23,0.14
0.848,0.205,0.14
0.849,0.195,0.14
0.85,0.175,0.14
0.851,0.165,0.14
0.852,0.155,0.135
0.853,0.15,0.13
0.854,0.14,0.12
0.855,0.135,0.11
0.856,0.13,0.09
0.857,0.11,0.075
0.858,0.105,0.06
0.859,0.085,0.045
0.86,0.075,0.035
0.861,0.065,0.03
0.862,0.06,0.03
0.863,0.065,0.025
0.864,0.06,0.025
0.865,0.06,0.02
0.866,0.05,0.02
0.867,0.045,0.01
0.868,0.04,0
0.869,0.02,-0.01
0.87,0.01,-0.02
0.871,0,-0.03
0.872,0,-0.035
0.873,0.01,-0.04
0.874,0.015,-0.045
0.875,0.01,-0.045
0.876,0.02,-0.045
0.877,0.01,-0.045
0.878,0,-0.05
0.879,-0.02,-0.05
0.88,-0.02,-0.055
0.881,-0.04,-0.06
0.882,-0.035,-0.06
0.883,-0.025,-0.065
0.884,-0.015,-0.065
0.885,-0.005,-0.07
0.886,0.005,-0.07
0.887,-0.005,-0.065
0.888,-0.02,-0.065
0.889,-0.025,-0.06
0.89,-0.025,-0.06
0.891,-0.025,-0.06
0.892,-0.025,-0.055
0.893,-0.025,-0.055
0.894,-0.01,-0.06
0.895,0.005,-0.06
0.896,0.015,-0.06
0.897,0.01,-0.06
0.898,0.005,-0.06
0.899,-0.02,-0.06
0.9,-0.015,-0.065
0.901,-0.015,-0.065
0.902,-0.02,-0.065
0.903,-0.025,-0.065
0.904,-0.02,-0.065
0.905,-0.02,-0.07
0.906,0,-0.07
0.907,0.015,-0.07
0.908,-0.005,-0.075
0.909,-0.01,-0.075
0.91,-0.02,-0.08
0.911,-0.03,-0.085
0.912,-0.03,-0.09
0.913,-0.015,-0.09
0.914,0,-0.095
0.915,0.01,-0.095
0.916,0.015,-0.095
0.917,0.015,-0.09
0.918,-0.005,-0.085
0.919,-0.01,-0.08
0.92,-0.035,-0.075
0.921,-0.025,-0.07
0.922,-0.025,-0.065
0.923,-0.02,-0.065
0.924,0.005,-0.065
0.925,0.015,-0.065
0.926,0.02,-0.065
0.927,0.025,-0.07
0.928,0,-0.07
0.929,-0.01,-0.07
0.93,-0.025,-0.065
0.931,-0.035,-0.065
0.932,-0.02,-0.06
0.933,-0.01,-0.06
0.934,0.005,-0.055
0.935,0.005,-0.055
0.936,0.01,-0.06
0.937,0.015,-0.06
0.938,0,-0.065
0.939,-0.005,-0.065
0.94,-0.02,-0.07
0.941,-0.025,-0.07
0.942,-0.025,-0.075
0.943,-0.015,-0.075
0.944,0,-0.075
0.945,0.005,-0.075
0.946,0.015,-0.075
0.947,0.02,-0.075
0.948,0,-0.075
0.949,-0.015,-0.075
0.95,-0.02,-0.075
0.951,-0.03,-0.08
0.952,-0.025,-0.08
0.953,-0.005,-0.08
0.954,-0.005,-0.08
0.955,0,-0.08
0.956,0.01,-0.08
0.957,0.015,-0.08
0.958,0.005,-0.08
0.959,-0.01,-0.08
0.96,-0.015,-0.08
0.961,-0.02,-0.08
0.962,-0.015,-0.08
0.963,-0.005,-0.085
0.964,-0.005,-0.085
0.965,-0.005,-0.085
0.966,-0.01,-0.085
0.967,-0.01,-0.09
0.968,-0.01,-0.09
0.969,-0.015,-0.095
0.97,-0.025,-0.095
0.971,-0.025,-0.1
0.972,-0.02,-0.1
0.973,-0.01,-0.1
0.974,-0.01,-0.1
0.975,-0.005,-0.1
0.976,-0.005,-0.1
0.977,-0.01,-0.1
0.978,-0.025,-0.1
0.979,-0.025,-0.1
0.98,-0.025,-0.1
0.981,-0.035,-0.105
0.982,-0.03,-0.105
0.983,-0.02,-0.11
0.984,-0.01,-0.11
0.985,-0.005,-0.11
0.986,-0.01,-0.115
0.987,-0.015,-0.115
0.988,-0.025,-0.115
0.989,-0.03,-0.115
0.99,-0.035,-0.115
0.991,-0.04,-0.115
0.992,-0.025,-0.115
0.993,-0.02,-0.115
0.994,-0.015,-0.115
0.995,-0.005,-0.11
0.996,0,-0.11
0.997,-0.01,-0.11
0.998,-0.025,-0.105
0.999,-0.03,-0.105
1,-0.045,-0.105
1.001,-0.045,-0.11
1.002,-0.045,-0.11
1.003,-0.035,-0.115
1.004,-0.04,-0.12
1.005,-0.025,-0.12
1.006,-0.01,-0.125
1.007,-0.025,-0.12
1.008,-0.04,-0.12
1.009,-0.04,-0.11
1.01,-0.03,-0.105
1.011,-0.035,-0.1
1.012,-0.04,-0.095
1.013,-0.025,-0.09
1.014,-0.02,-0.095
1.015,-0.015,-0.1
1.016,-0.005,-0.105
1.017,-0.01,-0.11
1.018,-0.025,-0.115
1.019,-0.04,-0.12
1.02,-0.045,-0.12
1.021,-0.04,-0.12
1.022,-0.02,-0.12
1.023,-0.015,-0.115
1.024,-0.01,-0.115
1.025,0,-0.115
1.026,-0.005,-0.115
1.027,-0.01,-0.11
1.028,-0.01,-0.11
1.029,-0.015,-0.105
1.03,0,-0.095
1.031,0.01,-0.085
1.032,0.025,-0.07
1.033,0.065,-0.055
1.034,0.07,-0.04
1.035,0.085,-0.025
1.036,0.1,-0.01
1.037,0.1,0
1.038,0.09,0.005
1.039,0.09,0.01
1.04,0.095,0.015
1.041,0.085,0.015
1.042,0.1,0.015
1.043,0.105,0.015
1.044,0.11,0.02
1.045,0.12,0.02
1.046,0.125,0.025
1.047,0.13,0.03
1.048,0.145,0.04
1.049,0.155,0.045
1.05,0.145,0.05
1.051,0.135,0.06
1.052,0.15,0.065
1.053,0.165,0.07
1.054,0.18,0.075
1.055,0.185,0.08
1.056,0.175,0.08
1.057,0.17,0.08
1.058,0.165,0.085
1.059,0.175,0.085
1.06,0.17,0.085
1.061,0.16,0.085
1.062,0.17,0.08
1.063,0.17,0.08
1.064,0.17,0.08
1.065,0.165,0.075
1.066,0.16,0.075
1.067,0.15,0.07
1.068,0.135,0.065
1.069,0.115,0.065
1.07,0.115,0.06
1.071,0.105,0.055
1.072,0.11,0.055
1.073,0.12,0.05
1.074,0.125,0.045
1.075,0.13,0.04
1.076,0.14,0.04
1.077,0.125,0.035
1.078,0.125,0.03
1.079,0.12,0.03
